Data,CP,AuGrade,Tonnes,AuMetal,AuMetalOZ
01/11/2014,PlantFeed,0.378632128975756,129489.817,49.0290050913911,
01/11/2014,PlantProduct,92.4325889949022,0.0399790104631329,39.9790104631329,1285.35407472255
01/11/2014,PlantReject,0.0457068943441206,129489.77702099,,
02/11/2014,PlantFeed,0.341011409202665,133086.888,45.3841472232773,
02/11/2014,PlantProduct,90.9358454136289,0.0348811315235058,34.8811315235058,1121.45358314999
02/11/2014,PlantReject,0.0539598260292815,133086.853118868,,
03/11/2014,PlantFeed,0.454814618525446,125568.64,57.110453100359,
03/11/2014,PlantProduct,91.3682500911835,0.0451469787458605,45.1469787458605,1451.50798932148
03/11/2014,PlantReject,0.0629201950619408,125568.594853021,,
04/11/2014,PlantFeed,0.598188841016151,96942.029,57.9896399732641,
04/11/2014,PlantProduct,92.3278705224657,0.0489134422052484,48.9134422052484,1572.60251114017
04/11/2014,PlantReject,0.053222078451839,96941.9800865578,,
05/11/2014,PlantFeed,0.481575376549535,124453.14,59.933567758272,
05/11/2014,PlantProduct,91.3809607399555,0.0486223902348964,48.6223902348964,1563.24497998284
05/11/2014,PlantReject,0.0553353957610961,124453.09137761,,
06/11/2014,PlantFeed,0.465744159751813,62155.511,28.9485662446396,
06/11/2014,PlantProduct,88.4253089092854,0.0230740775816336,23.0740775816336,741.848267289329
06/11/2014,PlantReject,0.0474971617418442,62155.4879259224,,
07/11/2014,PlantFeed,0.416994033173056,90709.261,37.8252205905374,
07/11/2014,PlantProduct,93.3318149882438,0.0253460067564828,25.3460067564828,814.892431928329
07/11/2014,PlantReject,0.119598469066214,90709.2356539932,,
08/11/2014,PlantFeed,0.337826769122982,168393.579,56.8878587346257,
08/11/2014,PlantProduct,92.7341276272768,0.0394458814467551,39.4458814467551,1268.21359161365
08/11/2014,PlantReject,0.086650455264072,168393.539554119,,
09/11/2014,PlantFeed,0.297347577474049,164877.64,49.0259668336384,
09/11/2014,PlantProduct,92.5556017672665,0.036792060471851,36.792060471851,1182.89132965264
09/11/2014,PlantReject,0.0575301791133208,164877.60320794,,
10/11/2014,PlantFeed,0.319443089539363,149842.379,47.8661124916882,
10/11/2014,PlantProduct,94.3161003439421,0.0382270134624444,38.2270134624444,1229.0261051793
10/11/2014,PlantReject,0.0500763555763109,149842.340772987,,
11/11/2014,PlantFeed,0.438102839735932,148099.259,64.8827059306873,
11/11/2014,PlantProduct,95.1279687148514,0.0556839684735103,55.6839684735103,1790.27982296238
11/11/2014,PlantReject,0.0439353771046975,148099.203316032,,
